PARKING_ZONE,STALL_TYPE,BLOCK_SIDE,PERMIT_ZONE,PRICE_ZONE,ENFORCEABLE_TIME,MAX_TIME,PARKING_RESTRICT_TYPE,BRZ_NAME,First_address,Second_address,First_address_Second_address,availability,number_of_spots_left
4965,Parallel,E,4965,22,"1110-1520 MON-FRI, 0910-1750 SAT",120,AM&PM,Crescent Heights Village,Centre St N , 9 Av NE ,Centre St N  &  9 Av NE ,5,5
3673,Parallel,W,3673,12,0910-1750 MON-FRI,120,none,First Street,1 St SW , 12 Av SW ,1 St SW  &  12 Av SW ,5,5
4962,Parallel,N,4962,22,"1110-1520 MON-FRI, 0910-1750 SAT",120,none,Crescent Heights Village,9 Av NE , 1 St NE ,9 Av NE  &  1 St NE ,5,5
4965,Parallel,E,4965,22,"1110-1520 MON-FRI, 0910-1750 SAT",120,AM&PM,Crescent Heights Village,Centre St N , 9 Av NE ,Centre St N  &  9 Av NE ,5,5
4950,Parallel,E,4950,22,"1110-1520 MON-FRI, 0910-1750 SAT",120,AM&PM,Crescent Heights Village,Centre St N , 8 Av NE ,Centre St N  &  8 Av NE ,5,5
4989,Parallel,N,4989,22,"1110-1520 MON-FRI, 0910-1750 SAT",120,none,Crescent Heights Village,11 Av NE , 1 St NE ,11 Av NE  &  1 St NE ,5,5
4978,Parallel,E,4978,22,"1110-1520 MON-FRI, 0910-1750 SAT",120,AM&PM,Crescent Heights Village,Centre St N , 10 Av NE ,Centre St N  &  10 Av NE ,5,5
3122,Parallel,S,3122,12,0910-1750 MON-FRI,120,AM,Beltline,10 Av SW , 2 St SW ,10 Av SW  &  2 St SW ,5,5
3141,Parallel,N,3141,12,0910-1750 MON-FRI,120,PM,Victoria Park,11 Av SW , 1 St Sw ,11 Av SW  &  1 St Sw ,5,5
3141,Parallel,N,3141,12,0910-1750 MON-FRI,120,PM,Victoria Park,11 Av SW , 1 St Sw ,11 Av SW  &  1 St Sw ,5,5
3141,Parallel,N,3141,12,0910-1750 MON-FRI,120,PM,Victoria Park,11 Av SW , 1 St Sw ,11 Av SW  &  1 St Sw ,5,5
3364,Parallel,S,3364,9,0910-1750 MON-FRI,120,none,Beltline,11 Av SW , 5 St SW ,11 Av SW  &  5 St SW ,5,5
3393,Parallel,S,3393,12,0910-1750 MON-FRI,120,none,,11 Av SW , 2 St SW ,11 Av SW  &  2 St SW ,5,5
3406,Parallel,S,3406,12,0910-1750 MON-FRI,120,PM,Victoria Park,11 Av SW , 1 St SW ,11 Av SW  &  1 St SW ,5,5
3408,Parallel,S,3408,12,0910-1750 MON-FRI,120,PM,Victoria Park,11 Av SW , 1 St SW ,11 Av SW  &  1 St SW ,5,5
3134,Parallel,S,3134,12,0910-1750 MON-FRI,120,AM,Victoria Park,10 Av SW , 1 St Sw ,10 Av SW  &  1 St Sw ,5,5
3340,Parallel,W,3340,9,0910-1750 MON-FRI,120,none,Beltline,7 St SW , 11 Av SW ,7 St SW  &  11 Av SW ,5,5
3380,Parallel,S,3380,12,0910-1750 MON-FRI,120,PM,,11 Av SW , 4 St SW ,11 Av SW  &  4 St SW ,5,5
3362,Parallel,E,3362,9,0910-1750 MON-FRI,120,none,Beltline,7 St SW , 11 Av SW ,7 St SW  &  11 Av SW ,5,5
3354,Parallel,W,3354,9,0910-1750 MON-FRI,120,none,Beltline,6 St SW , 11 Av SW ,6 St SW  &  11 Av SW ,5,5
3375,Parallel,E,3375,9,0910-1750 MON-FRI,120,none,,6 St SW , 11 Av SW ,6 St SW  &  11 Av SW ,5,5
2837,Parallel,N,K,19,0910-1750 MON-SAT,120,none,,Kensington Cl NW , 12 St NW ,Kensington Cl NW  &  12 St NW ,5,5
2840,Parallel,E,K,19,0910-1750 MON-SAT,120,none,,13 St NW , Kensington Rd  ,13 St NW  &  Kensington Rd  ,5,5
3482,Parallel,W,3478,15,0910-1750 MON-SAT,540,none,Victoria Park,5 St SE, 11 AV SE ,5 St SE &  11 AV SE ,5,5
2837,Parallel,N,K,19,0910-1750 MON-SAT,120,none,,Kensington Cl NW , 12 St NW ,Kensington Cl NW  &  12 St NW ,5,5
2840,Parallel,E,K,19,0910-1750 MON-SAT,120,none,,13 St NW , Kensington Rd  ,13 St NW  &  Kensington Rd  ,5,5
4057,Parallel,W,4057,8,0910-1750 MON-FRI,120,none,,11 St SW , 14 Av SW ,11 St SW  &  14 Av SW ,5,5
5279,Angle,S,5279,21,"0910-1520 MON-FRI, 0910-1750 SAT",240,none,Bridgeland,Centre Av NE , 8 St NE ,Centre Av NE  &  8 St NE ,5,5
4825,Parallel,N,4825,16,0910-1750 MON-SAT,120,none,4 Street SW,23 Av SW , 4 St SW ,23 Av SW  &  4 St SW ,5,5
5126,Parallel,N,5126,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,1 Av NE , 8 St NE ,1 Av NE  &  8 St NE ,5,5
5140,Parallel,N,5140,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,1 Av NE , 9 St NE ,1 Av NE  &  9 St NE ,5,5
3546,Parallel,W,3546,8,0910-1750 MON-FRI,180,none,,11 St SW , 12 Av SW ,11 St SW  &  12 Av SW ,5,5
5234,Parallel,W,5234,21,"0910-1520 MON-FRI, 0910-1750 SAT",120,none,Bridgeland,9A St NE , Centre Av NE ,9A St NE  &  Centre Av NE ,5,5
